local_x,local_y,bit_position,bit_value_decimal,mask_hex,part,codepoint_hex,reverse_local_x,reverse_local_y
0,0,3,8,0x0008,0,U+0F0008,0,0
1,0,2,4,0x0004,0,U+0F0004,1,0
2,0,1,2,0x0002,0,U+0F0002,2,0
3,0,0,1,0x0001,0,U+0F0001,3,0
0,1,7,128,0x0080,0,U+0F0080,0,1
1,1,6,64,0x0040,0,U+0F0040,1,1
2,1,5,32,0x0020,0,U+0F0020,2,1
3,1,4,16,0x0010,0,U+0F0010,3,1
0,2,11,2048,0x0800,0,U+0F0800,0,2
1,2,10,1024,0x0400,0,U+0F0400,1,2
2,2,9,512,0x0200,0,U+0F0200,2,2
3,2,8,256,0x0100,0,U+0F0100,3,2
0,3,15,32768,0x8000,1,U+100000,0,3
1,3,14,16384,0x4000,0,U+0F4000,1,3
2,3,13,8192,0x2000,0,U+0F2000,2,3
3,3,12,4096,0x1000,0,U+0F1000,3,3
